FrameNumber,ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,CamX,CamY,CamZ,CamPitch,CamYaw,CamRoll,WorldSizeX,WorldSizeY,WorldSizeZ
32,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1122,849,1392,1228,270,379,640.197,1769.235,438.319,713.602,1730.649,531.415,-5.693,92.358,0.000,62.029,32.029,136.731
33,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1112,859,1392,1228,280,369,640.197,1769.235,438.319,712.266,1730.593,531.800,-5.263,92.491,0.000,62.029,32.029,136.731
34,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1104,867,1392,1228,288,361,640.197,1769.235,438.319,710.959,1730.534,531.952,-4.755,92.620,-0.000,62.029,32.029,136.731
35,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1097,874,1392,1228,295,354,640.197,1769.235,438.319,709.636,1730.472,531.877,-4.168,92.749,0.000,62.029,32.029,136.731
36,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1090,879,1392,1228,302,349,640.197,1769.235,438.319,708.183,1730.401,531.531,-3.460,92.889,0.000,62.029,32.029,136.731
37,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1084,881,1392,1228,308,347,640.197,1769.235,438.319,706.831,1730.331,530.965,-2.764,93.018,0.000,62.029,32.029,136.731
38,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1078,881,1392,1228,314,347,640.197,1769.235,438.319,705.548,1730.262,530.218,-2.087,93.138,0.000,62.029,32.029,136.731
42,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1384,894,1392,1228,8,334,633.125,1767.961,496.933,700.142,1729.942,525.078,0.468,93.633,0.000,31.777,24.381,16.822
43,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1363,876,1392,1228,29,352,633.125,1767.961,496.933,698.745,1729.852,523.313,0.945,93.758,0.000,31.777,24.381,16.822
44,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1342,855,1392,1228,50,373,633.125,1767.961,496.933,697.415,1729.763,521.502,1.295,93.876,0.000,31.777,24.381,16.822
45,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1319,829,1392,1228,73,399,633.125,1767.961,496.933,695.982,1729.664,519.432,1.544,94.002,0.000,31.777,24.381,16.822
45,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,976,794,1392,1228,416,434,640.197,1769.235,438.319,695.982,1729.664,519.432,1.544,94.002,0.000,62.029,32.029,136.731
46,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1296,802,1392,1228,96,426,633.125,1767.961,496.933,694.636,1729.569,517.400,1.646,94.119,0.000,31.777,24.381,16.822
46,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,956,770,1392,1228,436,458,640.197,1769.235,438.319,694.636,1729.569,517.400,1.646,94.119,0.000,62.029,32.029,136.731
47,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1275,774,1392,1228,117,454,633.125,1767.961,496.933,693.359,1729.476,515.420,1.623,94.229,0.000,31.777,24.381,16.822
47,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,937,744,1392,1228,455,484,640.197,1769.235,438.319,693.359,1729.476,515.420,1.623,94.229,0.000,62.029,32.029,136.731
48,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1252,741,1392,1228,140,487,633.125,1767.961,496.933,691.972,1729.372,513.228,1.466,94.348,-0.000,31.777,24.381,16.822
48,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,917,715,1392,1228,475,513,640.197,1769.235,438.319,691.972,1729.372,513.228,1.466,94.348,-0.000,62.029,32.029,136.731
49,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1229,707,1392,1220,163,513,633.125,1767.961,496.933,690.594,1729.265,511.035,1.184,94.466,0.000,31.777,24.381,16.822
49,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,896,683,1392,1228,496,545,640.197,1769.235,438.319,690.594,1729.265,511.035,1.184,94.466,0.000,62.029,32.029,136.731
50,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1207,674,1392,1156,185,482,633.125,1767.961,496.933,689.289,1729.162,508.968,0.819,94.577,0.000,31.777,24.381,16.822
50,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,877,653,1392,1228,515,575,640.197,1769.235,438.319,689.289,1729.162,508.968,0.819,94.577,0.000,62.029,32.029,136.731
51,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1186,641,1392,1094,206,453,633.125,1767.961,496.933,688.003,1729.058,506.959,0.389,94.685,0.000,31.777,24.381,16.822
51,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,858,623,1392,1228,534,605,640.197,1769.235,438.319,688.003,1729.058,506.959,0.389,94.685,0.000,62.029,32.029,136.731
52,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1166,603,1392,1033,226,430,633.125,1767.961,496.933,686.691,1728.949,504.954,-0.086,94.796,-0.000,31.777,24.381,16.822
52,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,838,561,1392,1228,554,667,640.197,1769.235,438.319,686.691,1728.949,504.954,-0.086,94.796,-0.000,62.029,32.029,136.731
53,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,982,1201,1392,1228,410,27,650.523,1766.726,460.737,685.308,1728.832,502.906,-0.570,94.911,0.000,25.124,17.038,5.501
53,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1143,544,1392,972,249,428,633.125,1767.961,496.933,685.308,1728.832,502.906,-0.570,94.911,0.000,31.777,24.381,16.822
53,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,816,493,1392,1228,576,735,640.197,1769.235,438.319,685.308,1728.832,502.906,-0.570,94.911,0.000,62.029,32.029,136.731
54,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,958,1164,1392,1228,434,64,650.523,1766.726,460.737,683.992,1728.718,501.031,-0.954,95.021,-0.000,25.124,17.038,5.501
54,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1122,491,1392,918,270,427,633.125,1767.961,496.933,683.992,1728.718,501.031,-0.954,95.021,-0.000,31.777,24.381,16.822
54,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,796,431,1392,1228,596,797,640.197,1769.235,438.319,683.992,1728.718,501.031,-0.954,95.021,-0.000,62.029,32.029,136.731
55,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,935,1132,1392,1228,457,96,650.523,1766.726,460.737,682.639,1728.597,499.241,-1.212,95.133,0.000,25.124,17.038,5.501
55,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1101,442,1392,869,291,427,633.125,1767.961,496.933,682.639,1728.597,499.241,-1.212,95.133,0.000,31.777,24.381,16.822
55,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,776,373,1392,1228,616,855,640.197,1769.235,438.319,682.639,1728.597,499.241,-1.212,95.133,0.000,62.029,32.029,136.731
56,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,912,1105,1392,1228,480,123,650.523,1766.726,460.737,681.290,1728.475,497.557,-1.314,95.245,0.000,25.124,17.038,5.501
56,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1080,397,1392,824,312,427,633.125,1767.961,496.933,681.290,1728.475,497.557,-1.314,95.245,0.000,31.777,24.381,16.822
56,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,757,321,1392,1228,635,907,640.197,1769.235,438.319,681.290,1728.475,497.557,-1.314,95.245,0.000,62.029,32.029,136.731
57,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,888,1080,1392,1228,504,148,650.523,1766.726,460.737,679.843,1728.340,495.833,-1.234,95.365,0.000,25.124,17.038,5.501
57,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1058,355,1392,782,334,427,633.125,1767.961,496.933,679.843,1728.340,495.833,-1.234,95.365,0.000,31.777,24.381,16.822
57,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,738,270,1392,1228,654,958,640.197,1769.235,438.319,679.843,1728.340,495.833,-1.234,95.365,0.000,62.029,32.029,136.731
58,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,866,1061,1392,1228,526,167,650.523,1766.726,460.737,678.494,1728.212,494.289,-0.975,95.476,-0.000,25.124,17.038,5.501
58,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1038,320,1392,746,354,426,633.125,1767.961,496.933,678.494,1728.212,494.289,-0.975,95.476,-0.000,31.777,24.381,16.822
58,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,719,227,1392,1228,673,1001,640.197,1769.235,438.319,678.494,1728.212,494.289,-0.975,95.476,-0.000,62.029,32.029,136.731
59,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,843,1046,1392,1228,549,182,650.523,1766.726,460.737,677.112,1728.079,492.754,-0.527,95.590,0.000,25.124,17.038,5.501
59,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,1017,288,1392,714,375,426,633.125,1767.961,496.933,677.112,1728.079,492.754,-0.527,95.590,0.000,31.777,24.381,16.822
59,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1369,981,1392,1228,23,247,623.279,1768.143,462.888,677.112,1728.079,492.754,-0.527,95.590,0.000,10.275,10.275,9.938
59,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,700,189,1392,1228,692,1039,640.197,1769.235,438.319,677.112,1728.079,492.754,-0.527,95.590,0.000,62.029,32.029,136.731
60,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,822,1034,1392,1228,570,194,650.523,1766.726,460.737,675.783,1727.947,491.289,0.067,95.700,0.000,25.124,17.038,5.501
60,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,996,261,1392,685,396,424,633.125,1767.961,496.933,675.783,1727.947,491.289,0.067,95.700,0.000,31.777,24.381,16.822
60,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1351,968,1392,1228,41,260,623.279,1768.143,462.888,675.783,1727.947,491.289,0.067,95.700,0.000,10.275,10.275,9.938
60,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,681,155,1392,1228,711,1073,640.197,1769.235,438.319,675.783,1727.947,491.289,0.067,95.700,0.000,62.029,32.029,136.731
61,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,800,1024,1392,1228,592,204,650.523,1766.726,460.737,674.491,1727.817,489.870,0.783,95.806,0.000,25.124,17.038,5.501
61,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,976,238,1392,658,416,420,633.125,1767.961,496.933,674.491,1727.817,489.870,0.783,95.806,0.000,31.777,24.381,16.822
61,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1332,957,1392,1228,60,271,623.279,1768.143,462.888,674.491,1727.817,489.870,0.783,95.806,0.000,10.275,10.275,9.938
61,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,661,127,1392,1228,731,1101,640.197,1769.235,438.319,674.491,1727.817,489.870,0.783,95.806,0.000,62.029,32.029,136.731
62,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,776,1016,1392,1228,616,212,650.523,1766.726,460.737,673.048,1727.669,488.309,1.719,95.926,0.000,25.124,17.038,5.501
62,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,952,215,1392,634,440,419,633.125,1767.961,496.933,673.048,1727.669,488.309,1.719,95.926,0.000,31.777,24.381,16.822
62,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1311,948,1392,1228,81,280,623.279,1768.143,462.888,673.048,1727.669,488.309,1.719,95.926,0.000,10.275,10.275,9.938
62,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,638,99,1392,1228,754,1129,640.197,1769.235,438.319,673.048,1727.669,488.309,1.719,95.926,0.000,62.029,32.029,136.731
63,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,756,1010,1392,1228,636,218,650.523,1766.726,460.737,671.841,1727.542,487.039,2.589,96.026,0.000,25.124,17.038,5.501
63,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,933,200,1392,629,459,429,633.125,1767.961,496.933,671.841,1727.542,487.039,2.589,96.026,0.000,31.777,24.381,16.822
63,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1294,941,1392,1228,98,287,623.279,1768.143,462.888,671.841,1727.542,487.039,2.589,96.026,0.000,10.275,10.275,9.938
63,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,616,80,1392,1228,776,1148,640.197,1769.235,438.319,671.841,1727.542,487.039,2.589,96.026,0.000,62.029,32.029,136.731
64,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,731,1005,1383,1228,652,223,650.523,1766.726,460.737,670.401,1727.389,485.583,3.700,96.145,0.000,25.124,17.038,5.501
64,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,910,186,1392,625,482,439,633.125,1767.961,496.933,670.401,1727.389,485.583,3.700,96.145,0.000,31.777,24.381,16.822
64,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1272,935,1392,1221,120,286,623.279,1768.143,462.888,670.401,1727.389,485.583,3.700,96.145,0.000,10.275,10.275,9.938
64,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,545,62,1392,1228,847,1166,640.197,1769.235,438.319,670.401,1727.389,485.583,3.700,96.145,0.000,62.029,32.029,136.731
65,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,710,1003,1360,1228,650,225,650.523,1766.726,460.737,669.206,1727.259,484.440,4.652,96.245,-0.000,25.124,17.038,5.501
65,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,891,177,1392,623,501,446,633.125,1767.961,496.933,669.206,1727.259,484.440,4.652,96.245,-0.000,31.777,24.381,16.822
65,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1255,932,1392,1216,137,284,623.279,1768.143,462.888,669.206,1727.259,484.440,4.652,96.245,-0.000,10.275,10.275,9.938
65,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,469,51,1392,1228,923,1177,640.197,1769.235,438.319,669.206,1727.259,484.440,4.652,96.245,-0.000,62.029,32.029,136.731
66,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,685,1001,1333,1228,648,227,650.523,1766.726,460.737,667.813,1727.105,483.193,5.762,96.361,0.000,25.124,17.038,5.501
66,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,869,169,1392,621,523,452,633.125,1767.961,496.933,667.813,1727.105,483.193,5.762,96.361,0.000,31.777,24.381,16.822
66,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1233,929,1392,1212,159,283,623.279,1768.143,462.888,667.813,1727.105,483.193,5.762,96.361,0.000,10.275,10.275,9.938
66,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,355,42,1392,1228,1037,1186,640.197,1769.235,438.319,667.813,1727.105,483.193,5.762,96.361,0.000,62.029,32.029,136.731
67,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,663,1000,1307,1228,644,228,650.523,1766.726,460.737,666.570,1726.966,482.173,6.726,96.465,0.000,25.124,17.038,5.501
67,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,849,165,1392,621,543,456,633.125,1767.961,496.933,666.570,1726.966,482.173,6.726,96.465,0.000,31.777,24.381,16.822
67,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1214,927,1392,1209,178,282,623.279,1768.143,462.888,666.570,1726.966,482.173,6.726,96.465,0.000,10.275,10.275,9.938
67,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,223,36,1392,1228,1169,1192,640.197,1769.235,438.319,666.570,1726.966,482.173,6.726,96.465,0.000,62.029,32.029,136.731
68,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,636,1000,1276,1228,640,228,650.523,1766.726,460.737,665.162,1726.805,481.135,7.747,96.584,0.000,25.124,17.038,5.501
68,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,828,162,1392,621,564,459,633.125,1767.961,496.933,665.162,1726.805,481.135,7.747,96.584,0.000,31.777,24.381,16.822
68,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1191,926,1392,1207,201,281,623.279,1768.143,462.888,665.162,1726.805,481.135,7.747,96.584,0.000,10.275,10.275,9.938
68,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,26,32,1392,1228,1366,1196,640.197,1769.235,438.319,665.162,1726.805,481.135,7.747,96.584,0.000,62.029,32.029,136.731
69,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,612,1000,1246,1228,634,228,650.523,1766.726,460.737,663.870,1726.654,480.355,8.539,96.694,-0.000,25.124,17.038,5.501
69,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,808,161,1392,622,584,461,633.125,1767.961,496.933,663.870,1726.654,480.355,8.539,96.694,-0.000,31.777,24.381,16.822
69,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1170,925,1392,1205,222,280,623.279,1768.143,462.888,663.870,1726.654,480.355,8.539,96.694,-0.000,10.275,10.275,9.938
69,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,0,30,1392,1228,1392,1198,640.197,1769.235,438.319,663.870,1726.654,480.355,8.539,96.694,-0.000,62.029,32.029,136.731
70,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,571,999,1210,1228,639,229,650.523,1766.726,460.737,662.366,1726.476,479.592,9.321,96.823,0.000,25.124,17.038,5.501
70,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,786,160,1392,623,606,463,633.125,1767.961,496.933,662.366,1726.476,479.592,9.321,96.823,0.000,31.777,24.381,16.822
70,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1145,925,1392,1203,247,278,623.279,1768.143,462.888,662.366,1726.476,479.592,9.321,96.823,0.000,10.275,10.275,9.938
70,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,0,29,1392,1228,1392,1199,640.197,1769.235,438.319,662.366,1726.476,479.592,9.321,96.823,0.000,62.029,32.029,136.731
71,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,531,999,1176,1228,645,229,650.523,1766.726,460.737,661.015,1726.313,479.037,9.882,96.940,0.000,25.124,17.038,5.501
71,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,767,159,1392,623,625,464,633.125,1767.961,496.933,661.015,1726.313,479.037,9.882,96.940,0.000,31.777,24.381,16.822
71,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1122,924,1392,1201,270,277,623.279,1768.143,462.888,661.015,1726.313,479.037,9.882,96.940,0.000,10.275,10.275,9.938
71,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,0,28,1392,1228,1392,1200,640.197,1769.235,438.319,661.015,1726.313,479.037,9.882,96.940,0.000,62.029,32.029,136.731
72,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,491,999,1142,1228,651,229,650.523,1766.726,460.737,659.690,1726.150,478.619,10.282,97.055,0.000,25.124,17.038,5.501
72,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,748,159,1392,624,644,465,633.125,1767.961,496.933,659.690,1726.150,478.619,10.282,97.055,0.000,31.777,24.381,16.822
72,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1099,923,1392,1199,293,276,623.279,1768.143,462.888,659.690,1726.150,478.619,10.282,97.055,0.000,10.275,10.275,9.938
72,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,0,27,1392,1228,1392,1201,640.197,1769.235,438.319,659.690,1726.150,478.619,10.282,97.055,0.000,62.029,32.029,136.731
73,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,450,997,1106,1228,656,231,650.523,1766.726,460.737,658.343,1725.982,478.326,10.517,97.174,0.000,25.124,17.038,5.501
73,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,728,158,1392,623,664,465,633.125,1767.961,496.933,658.343,1725.982,478.326,10.517,97.174,0.000,31.777,24.381,16.822
73,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1076,922,1392,1196,316,274,623.279,1768.143,462.888,658.343,1725.982,478.326,10.517,97.174,0.000,10.275,10.275,9.938
73,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,0,25,1392,1228,1392,1203,640.197,1769.235,438.319,658.343,1725.982,478.326,10.517,97.174,0.000,62.029,32.029,136.731
74,SM_To_towel_table_B5_138_SM_To_towel_table_B,StaticMesh_SM_To_towel_table_B,410,995,1069,1228,659,233,650.523,1766.726,460.737,657.000,1725.812,478.172,10.568,97.294,-0.000,25.124,17.038,5.501
74,SM_To_basket8_SM_To_basket,StaticMesh_SM_To_basket,709,156,1392,622,683,466,633.125,1767.961,496.933,657.000,1725.812,478.172,10.568,97.294,-0.000,31.777,24.381,16.822
74,SM_To_toiletpaper_solo6_135_SM_To_toiletpaper_solo,StaticMesh_SM_To_toiletpaper_solo,1052,920,1388,1193,336,273,623.279,1768.143,462.888,657.000,1725.812,478.172,10.568,97.294,-0.000,10.275,10.275,9.938
